Text,Action,Action_number,Label
"Wendell Green is having a major impact in the early minutes here with his passing and driving, and they get Jasper on a foul.",No action,0,0
"You want to make the 510 guy finish at the rim? Good shot, fade. Shackleford looks in the corner. He finds Miles, who launches, then hits the side of the backboard.",No action,0,0
Five to shoot. Arms deep. Step back. That's a two off the heel.,No action,0,0
"He said he's been the best player every team he's been on, so I'm not surprised he's become Texas Tech. Best player, first bucket for Allen.",No action,0,0
The 14 point game almost tried to kick it. Look at Kessler with the left and a foul.,No action,0,0
"Match up and for Tennessee fans saying wait, we're A4 seat even though Trump's on the games we lost. Yeah but all the games Tennessee has lost.",No action,0,0
"Off the mark. Smallest guy on the floor. Yes, Sufu grabs the rebound. Brown in transition? And Jones clears for the Cyclones.",No action,0,0
"What a miles Turner. Jay Bill is not the only person making a lot of money tonight, Carl. No, he's actually getting it, though walkers is down the road.",No action,0,0
"Mississippi State. Now 5th, 14 and seven, thanks for joining us and Starkville. For Jimmy, I'm Kevin.",No action,0,0
"Virginia's gone 5 minutes without a made field goal now. Wow, what a play defensively by Reese Beakman. He is something.",No action,0,0
8 minutes to go. Alexander he's been automatic tonight.,No action,0,0
10 on the shot clock. And Cafaro draws a blocking foul and he took a hard fall. Those are two big guys. They're colliding.,No action,0,0
And that was a set play cause it looked for the life of us that Katie Johnson was somehow gonna get that up on the rim. Shackleford. That one is off. LS keeps it alive.,No action,0,0
"Hunter. Circus shot, but Tyrese Hunter had to earn it at the free throw line.",No action,0,0
"9 minutes gone by in the second-half, Kansas maintaining that double digit lead. Jackson lost it. And a foul called it'll be Kansas basketball.",No action,0,0
"West tied up by Big ***** popped up free ball, picked up by Withers leaning inside. And that's gonna be an offensive bowl.",No action,0,0
He turns and tries to find an open teammate and Harris is right there to knock it down. And Jamir Harris a much needed triple from the top of the key his second.,No action,0,0
That was a Devon Cambridge three after a quinerly miss and now Gurley Rozvod. And an offensive foul.,No action,0,0
Warren.,No action,0,0
"I think after all the tape has been able to watch from St. John's, if you're one of their opponents, I think you figured out if Champagne doesn't score, they have trouble winning and I think that everybody's loading up on him big time.",No action,0,0
Coming up on five minutes to go here at KFC Yum Center. On the role of across with the Miss gets it back that one hit.,No action,0,0
"That my defender could hear, but my teammates couldn't hear. I bet, hey, I'm coming to get you on this play, and the defender would think I was dumb enough to tell him that. And then I would cut opposite.",No action,0,0
6 coming in. Columa. That's deep.,No action,0,0
"Georgetown. Harris just knows how to get himself to an open area. Great elevation on that jumper. Really has a nice feel for the game, man.",No action,0,0
Wilson alone on the wing. Got it. Great extra pass by yesufu.,No action,0,0
"The sweet spot, you just have to find consistency and getting those guys involved and I love this into a little 2-3 zone. Out of that timeout, change the look up.",No action,0,0
"Maggie's lucky they didn't throw that one away. Here's Andre Gordon, now Radford of Virginia Tech transfer and we gotta travel.",No action,0,0
We still have 8 on the shot clock Flanigan early foul Kessler. They put his elbow right into his chest.,No action,0,0
The final with two on the shot clock. Find them as to force up to three and he hits it. He's been huge too. And then a turnover by St. John's.,No action,0,0
"And part of the last semester was into game situations, so he studied everything that Dean Smith was doing in North Carolina at the time. Jackson beautiful reverse.",No action,0,0
Jordan Hawkins. Offensive board for Whaley? Gets it back and warms it down. That's what Jeff's gonna do.,No action,0,0
They are 11 and all. Scoop shot heavy traffic there by Davis.,No action,0,0
They executed. A lot of people have it. You gotta execute it. Find them on the drive. Finds a cutting maniac and he's tied up by Wheeler for the foul.,No action,0,0
In the half court that was kind of a semi transition. You kind of just shooting it quick nice floated by.,No action,0,0
"His three won't go, tipped around and controlled by Mathis. Mathis to Adewusi you know, and the followed by Soriano is not there.",No action,0,0
Them hard.,No action,0,0
"Slapshots replacing Fulkerson, now inside for Tennessee. Blow by results in a foul.",No action,0,0
Block shots. I think the best thing that they've done tonight is rebound. Boston College averages 12 offensive rebounds a game. They've been held to 6th so far.,No action,0,0
One of the better 3 point shooters you're gonna find in college basketball this season. It'll drive edition and mannequin finish. Not new. Brady had the three ball. I didn't know Brady had that notice. That's explosive.,No action,0,0
"You wanna, you gotta get back into your winning ways. Both sides, you know, lost eight straight if your doors down, two in a row if you're seating hall had higher expectations.",No action,0,0
The color in the leg kicks to the corner at an offensive foul as cars there. To take the charge. I don't think the numbers are great for cars since.,No action,0,0
"Really good defense, and there was a closeout drill at Texas Tech was on the spot each time. The Dolly loses the dribble and then he fouls car.",No action,0,0
"Well, over the last couple of months he's really elevated his game his sophomore campaign. Expect him to continue to ascend to be one of the better players in the ACC.",No action,0,0
"That's the Big East. Whaley the answer? Well, if he didn't make a couple of those, all of a sudden Harkins gotta come out and play him.",No action,0,0
Shot clock to two. West will fire. It can't hit. Great job by Bacot recovering and recognizing that Wes had to shoot the basketball.,No action,0,0
"No, that was something that they talked about. Hey, scoring a little bit harder to come by this year. We gotta make up for it defensively, absolutely. You'll give that shot the sonogram, particularly early.",No action,0,0
"And what a first half for Auburn as we hit the two-minute mark. Up 19, Darius Miles, his three finds the bottom and they need a lot more of those.",No action,0,0
Williams just off the Mark offensive rebound. From old banner.,No action,0,0
"You know, both teams are pretty much doing what they want. You know, 64% for Georgetown and Seton Hall, almost 50% now that.",No action,0,0
Another steal. James draws the foul. That would charge the Quentin Jackson.,No action,0,0
"And he hinted to us we might not be seeing Remy Martin tonight either with that knee injury, right. Here's hunter.",No action,0,0
Fran. That's his first points in the last five games for Bill Self. And Brown another rebound where? Remember that three by Yesufu because.,No action,0,0
Over the top and the slam by big ****. So that's the largest leak.,No action,0,0
"That was close. They're gonna call it A2 for Langford, and it puts BC up a half dozen in these first five minutes. Gardner misses cleared by the Eagles.",No action,0,0
"They were state champs, you know, it's our first game together of the year, so I didn't want to go, actually. Yeah, I think give you a chance. Alexander lays it in.",No action,0,0
"Post and Bickerstaff both out there with four fouls for the Eagles. Gotta go to work now. Down 13, you get the feeling of your balls in college. You gotta go now. Another turnover.",No action,0,0
"Dribble kick to the corner. Bounces off from the leak, Wilson.",No action,0,0
"That would be a great accomplishment for him as the interim head coach because he was a big member of this team a year ago. Wait a minute, ohh. We had a heat check moment.",No action,0,0
"And been hurt a little bit by a couple of like a groin injury and not not completely full speed, but he's a real key if South Carolina is going to make a move in this SC. Wow, vicious attack. You know, that's usually some.",No action,0,0
Kicks it out towards Zachary. Galloway driving. He's blocked by shedrick. Great ending explanation point. From Kaden shedrick.,No action,0,0
Four point lead for Seton Hall. Now Kaden Rice tries A3.,No action,0,0
"Watson has entered to try to defend the inbound, and that will do it. And that's the end of the first, so frantic finish. Into this first half.",No action,0,0
He was throwing it back. The Old Miami senior days spent about a decade and 1/2 down in Miami. At the high school ranks before.,No action,0,0
"And they run him in and out. Richmond no, yet. Now the offensive board. And another block by Matumbo.",No action,0,0
